created_datetime   |raw_string_body
-------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2025-10-30 06:32:24|{ "headerInfo": { "corrId": "e725d0d9-9d1c-438a-9eff-91ce98fbf000", "source": "1388_ALPP", "version": "1.0", "msgDateTime": "2025-07-17T18:18:00.147+03:00" }, "paymentInfo": { "operationKind": "1388.0006.0001", "channel": "TP", "paymentId": "2f8eee47-a877-4c08-83c5-273f84d6eef8", "transactionDateTime": "2025-07-15T13:18:00.042+03:00", "paymentType": "Транзитный", "documentCode": "01", "paymentNumber": "1017506305", "paymentDate": "2025-07-15", "amount": "40", "currency": "RUB", "operationType": "01", "paymentPurpose": "вознаграждение", "paymentPriority": "5", "accountDebet": "40818810345250000745", "accountCredit": "40818810145250000411" }, "payerInfo": { "clientId": "1000011961336", "mdmSystemCode": "1498", "clientType": "4", "payerName": "ПАО БАНК ВТБ", "payerInn": "7702070139", "payerAccountInfo": { "purpose": "счет требований 47423", "payerAccountNumber": "40818810345250000745" } }, "receiverInfo": { "clientId": "9991231449282", "mdmSystemCode": "1498", "clientType": "3", "receiverMessageInfo": "receiverMessageInfo", "receiverName": "ОБЩЕСТВО ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТЕХНО-ТЕМП", "receiverInn": "7702328490", "receiverAccountInfo": { "purpose": "счет требований 47423", "receiverAccountNumber": "40818810800819989550" }, "documents": [] }, "payerBankInfo": { "payerBankName": "T-BANK", "payerBankBic": "044525745", "payerBankAccountNumber": "40702810345250000745" }, "receiverBankInfo": { "receiverBankInfo": "receiverBankInfo", "receiverBankName": "ФИЛИАЛ ЮЖНЫЙ ПАО БАНК УРАЛСИБ", "receiverBankBic": "044525411", "receiverBankAccountNumber": "40702810145250000411" }, "mediatorBankInfo": { "mediatorBankInfo": "mediatorBankInfo", "mediatorBankName": "FILIAL", "mediatorBankBic": "044555555", "mediatorBankAccountNumber": "40702810145250000411" } }
2025-10-30 06:32:24|{ "headerInfo": { "corrId": "89b1205c-02ba-4178-acab-9b4bb637d2e3", "source": "1388_ALPP", "version": "1.0", "msgDateTime": "2025-07-17T18:18:00.147+03:00" }, "paymentInfo": { "operationKind": "1388.0006.0001", "channel": "TP", "paymentId": "2f8eee47-a877-4c08-83c5-273f84d6eef8", "transactionDateTime": "2025-07-15T13:18:00.042+03:00", "paymentType": "Исходящий", "documentCode": "01", "paymentNumber": "1017506305", "paymentDate": "2025-07-15", "amount": "40", "currency": "RUB", "operationType": "01", "paymentPurpose": "мышка", "paymentPriority": "5", "accountDebet": "40817810345250000745", "accountCredit": "40817810145250000411" }, "payerInfo": { "clientId": "1000011961336", "mdmSystemCode": "1498", "clientType": "4", "payerName": "ПАО БАНК ВТБ", "payerInn": "7702070139", "payerAccountInfo": { "purpose": "счет требований 47423", "payerAccountNumber": "40817810345250000745" } }, "receiverInfo": { "clientId": "9991231449282", "mdmSystemCode": "1498", "clientType": "3", "receiverMessageInfo": "receiverMessageInfo", "receiverName": "ОБЩЕСТВО ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТЕХНО-ТЕМП", "receiverInn": "7702328490", "receiverAccountInfo": { "purpose": "счет требований 47423", "receiverAccountNumber": "40817810800819989550" }, "documents": [] }, "payerBankInfo": { "payerBankName": "T-BANK", "payerBankBic": "044525745", "payerBankAccountNumber": "40703810345250000745" }, "receiverBankInfo": { "receiverBankInfo": "receiverBankInfo", "receiverBankName": "ФИЛИАЛ ЮЖНЫЙ ПАО БАНК УРАЛСИБ", "receiverBankBic": "044525411", "receiverBankAccountNumber": "40703810145250000411" }, "mediatorBankInfo": { "mediatorBankInfo": "mediatorBankInfo", "mediatorBankName": "FILIAL", "mediatorBankBic": "044555555", "mediatorBankAccountNumber": "40703810145250000411" } }
2025-10-30 06:32:24|{ "headerInfo": { "corrId": "f3d64055-7596-483f-ac80-9e24c59b7ae4", "source": "1388_ALPP", "version": "1.0", "msgDateTime": "2025-07-17T18:18:00.147+03:00" }, "paymentInfo": { "operationKind": "1388.0006.0001", "channel": "TP", "paymentId": "2f8eee47-a877-4c08-83c5-273f84d6eef8", "transactionDateTime": "2025-07-15T13:18:00.042+03:00", "paymentType": "Внутрифилиальный", "documentCode": "01", "paymentNumber": "1017506305", "paymentDate": "2025-07-15", "amount": "40", "currency": "RUB", "operationType": "01", "paymentPurpose": "зарплата", "paymentPriority": "5", "accountDebet": "40818810345250000745", "accountCredit": "40818810145250000411" }, "payerInfo": { "clientId": "1000011961336", "mdmSystemCode": "1498", "clientType": "4", "payerName": "ПАО БАНК ВТБ", "payerInn": "7702070139", "payerAccountInfo": { "purpose": "счет требований 47423", "payerAccountNumber": "40818810345250000745" } }, "receiverInfo": { "clientId": "9991231449282", "mdmSystemCode": "1498", "clientType": "3", "receiverMessageInfo": "receiverMessageInfo", "receiverName": "ОБЩЕСТВО ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТЕХНО-ТЕМП", "receiverInn": "7702328490", "receiverAccountInfo": { "purpose": "счет требований 47423", "receiverAccountNumber": "40818810800819989550" }, "documents": [] }, "payerBankInfo": { "payerBankName": "T-BANK", "payerBankBic": "044525745", "payerBankAccountNumber": "30102810345250000745" }, "receiverBankInfo": { "receiverBankInfo": "receiverBankInfo", "receiverBankName": "ФИЛИАЛ ЮЖНЫЙ ПАО БАНК УРАЛСИБ", "receiverBankBic": "044525411", "receiverBankAccountNumber": "30102810145250000411" }, "mediatorBankInfo": { "mediatorBankInfo": "mediatorBankInfo", "mediatorBankName": "FILIAL", "mediatorBankBic": "044555555", "mediatorBankAccountNumber": "30102810145250000411" } }
2025-10-30 06:32:24|{ "headerInfo": { "corrId": "6304360d-3ce3-4bb9-afb2-251e8d75171c", "source": "1388_ALPP", "version": "1.0", "msgDateTime": "2025-07-17T18:18:00.147+03:00" }, "paymentInfo": { "operationKind": "1388.0006.0001", "channel": "TP", "paymentId": "2f8eee47-a877-4c08-83c5-273f84d6eef8", "transactionDateTime": "2025-07-15T13:18:00.042+03:00", "paymentType": "Входящий", "documentCode": "01", "paymentNumber": "1017506305", "paymentDate": "2025-07-15", "amount": "40", "currency": "RUB", "operationType": "01", "paymentPurpose": "зарплата", "paymentPriority": "5", "accountDebet": "40818810345250000745", "accountCredit": "40818810145250000411" }, "payerInfo": { "clientId": "1000011961336", "mdmSystemCode": "1498", "clientType": "4", "payerName": "ПАО БАНК ВТБ", "payerInn": "7702070139", "payerAccountInfo": { "purpose": "счет требований 47423", "payerAccountNumber": "40818810345250000745" } }, "receiverInfo": { "clientId": "9991231449282", "mdmSystemCode": "1498", "clientType": "3", "receiverMessageInfo": "receiverMessageInfo", "receiverName": "ОБЩЕСТВО ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТЕХНО-ТЕМП", "receiverInn": "7702328490", "receiverAccountInfo": { "purpose": "счет требований 47423", "receiverAccountNumber": "40818810800819989550" }, "documents": [] }, "payerBankInfo": { "payerBankName": "T-BANK", "payerBankBic": "044525745", "payerBankAccountNumber": "40702810345250000745" }, "receiverBankInfo": { "receiverBankInfo": "receiverBankInfo", "receiverBankName": "ФИЛИАЛ ЮЖНЫЙ ПАО БАНК УРАЛСИБ", "receiverBankBic": "044525411", "receiverBankAccountNumber": "40702810145250000411" }, "mediatorBankInfo": { "mediatorBankInfo": "mediatorBankInfo", "mediatorBankName": "FILIAL", "mediatorBankBic": "044555555", "mediatorBankAccountNumber": "40702810145250000411" } }
2025-10-30 06:32:24|{ "headerInfo": { "corrId": "b1b84128-9416-499f-ba75-cd96ebbd7b97", "source": "1388_ALPP", "version": "1.0", "msgDateTime": "2025-07-17T18:18:00.147+03:00" }, "paymentInfo": { "operationKind": "1388.0006.0001", "channel": "TP", "paymentId": "2f8eee47-a877-4c08-83c5-273f84d6eef8", "transactionDateTime": "2025-07-15T13:18:00.042+03:00", "paymentType": "Входящий", "documentCode": "01", "paymentNumber": "1017506305", "paymentDate": "2025-07-15", "amount": "40", "currency": "RUB", "operationType": "01", "paymentPurpose": "дом", "paymentPriority": "5", "accountDebet": "40827810345250000745", "accountCredit": "40827810145250000411" }, "payerInfo": { "clientId": "1000011961336", "mdmSystemCode": "1498", "clientType": "4", "payerName": "ПАО БАНК ВТБ", "payerInn": "7702070139", "payerAccountInfo": { "purpose": "счет требований 47423", "payerAccountNumber": "40827810345250000745" } }, "receiverInfo": { "clientId": "9991231449282", "mdmSystemCode": "1498", "clientType": "3", "receiverMessageInfo": "receiverMessageInfo", "receiverName": "ОБЩЕСТВО ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТЕХНО-ТЕМП", "receiverInn": "7702328490", "receiverAccountInfo": { "purpose": "счет требований 47423", "receiverAccountNumber": "40827810800819989550" }, "documents": [] }, "payerBankInfo": { "payerBankName": "T-BANK", "payerBankBic": "044525745", "payerBankAccountNumber": "40703810345250000745" }, "receiverBankInfo": { "receiverBankInfo": "receiverBankInfo", "receiverBankName": "ФИЛИАЛ ЮЖНЫЙ ПАО БАНК УРАЛСИБ", "receiverBankBic": "044525411", "receiverBankAccountNumber": "40703810145250000411" }, "mediatorBankInfo": { "mediatorBankInfo": "mediatorBankInfo", "mediatorBankName": "FILIAL", "mediatorBankBic": "044555555", "mediatorBankAccountNumber": "40703810145250000411" } }
2025-10-30 06:32:23|{ "headerInfo": { "corrId": "23aa5981-abf8-4378-8cec-d56f5c80e42a", "source": "1388_ALPP", "version": "1.0", "msgDateTime": "2025-07-17T18:18:00.147+03:00" }, "paymentInfo": { "operationKind": "1388.0006.0001", "channel": "TP", "paymentId": "2f8eee47-a877-4c08-83c5-273f84d6eef8", "transactionDateTime": "2025-07-15T13:18:00.042+03:00", "paymentType": "Входящий", "documentCode": "01", "paymentNumber": "1017506305", "paymentDate": "2025-07-15", "amount": "40", "currency": "RUB", "operationType": "01", "paymentPurpose": "домик", "paymentPriority": "5", "accountDebet": "40831810345250000745", "accountCredit": "40831810145250000411" }, "payerInfo": { "clientId": "1000011961336", "mdmSystemCode": "1498", "clientType": "4", "payerName": "ПАО БАНК ВТБ", "payerInn": "7702070139", "payerAccountInfo": { "purpose": "счет требований 47423", "payerAccountNumber": "40831810345250000745" } }, "receiverInfo": { "clientId": "9991231449282", "mdmSystemCode": "1498", "clientType": "3", "receiverMessageInfo": "receiverMessageInfo", "receiverName": "ОБЩЕСТВО ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТЕХНО-ТЕМП", "receiverInn": "7702328490", "receiverAccountInfo": { "purpose": "счет требований 47423", "receiverAccountNumber": "40831810800819989550" }, "documents": [] }, "payerBankInfo": { "payerBankName": "T-BANK", "payerBankBic": "044525745", "payerBankAccountNumber": "40702810345250000745" }, "receiverBankInfo": { "receiverBankInfo": "receiverBankInfo", "receiverBankName": "ФИЛИАЛ ЮЖНЫЙ ПАО БАНК УРАЛСИБ", "receiverBankBic": "044525411", "receiverBankAccountNumber": "40702810145250000411" }, "mediatorBankInfo": { "mediatorBankInfo": "mediatorBankInfo", "mediatorBankName": "FILIAL", "mediatorBankBic": "044555555", "mediatorBankAccountNumber": "40702810145250000411" } }
2025-10-30 06:32:23|{ "headerInfo": { "corrId": "a914e721-0d00-4458-8b54-e2530213acee", "source": "1388_ALPP", "version": "1.0", "msgDateTime": "2025-07-17T18:18:00.147+03:00" }, "paymentInfo": { "operationKind": "1388.0006.0001", "channel": "TP", "paymentId": "2f8eee47-a877-4c08-83c5-273f84d6eef8", "transactionDateTime": "2025-07-15T13:18:00.042+03:00", "paymentType": "Входящий", "documentCode": "01", "paymentNumber": "1017506305", "paymentDate": "2025-07-15", "amount": "40", "currency": "RUB", "operationType": "01", "paymentPurpose": "зачисление пенсии", "paymentPriority": "5", "accountDebet": "40818810345250000745", "accountCredit": "40818810145250000411" }, "payerInfo": { "clientId": "1000011961336", "mdmSystemCode": "1498", "clientType": "4", "payerName": "ПАО БАНК ВТБ", "payerInn": "7702070139", "payerAccountInfo": { "purpose": "счет требований 47423", "payerAccountNumber": "40818810345250000745" } }, "receiverInfo": { "clientId": "9991231449282", "mdmSystemCode": "1498", "clientType": "3", "receiverMessageInfo": "receiverMessageInfo", "receiverName": "ОБЩЕСТВО ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТЕХНО-ТЕМП", "receiverInn": "7702328490", "receiverAccountInfo": { "purpose": "счет требований 47423", "receiverAccountNumber": "40818810800819989550" }, "documents": [] }, "payerBankInfo": { "payerBankName": "T-BANK", "payerBankBic": "044525745", "payerBankAccountNumber": "40702810345250000745" }, "receiverBankInfo": { "receiverBankInfo": "receiverBankInfo", "receiverBankName": "ФИЛИАЛ ЮЖНЫЙ ПАО БАНК УРАЛСИБ", "receiverBankBic": "044525411", "receiverBankAccountNumber": "40702810145250000411" }, "mediatorBankInfo": { "mediatorBankInfo": "mediatorBankInfo", "mediatorBankName": "FILIAL", "mediatorBankBic": "044555555", "mediatorBankAccountNumber": "40702810145250000411" } }
2025-10-30 06:32:23|{ "headerInfo": { "corrId": "13f1cfe9-8ec2-4b50-a690-39082a10faaa", "source": "1388_ALPP", "version": "1.0", "msgDateTime": "2025-07-17T18:18:00.147+03:00" }, "paymentInfo": { "operationKind": "1388.0006.0001", "channel": "TP", "paymentId": "2f8eee47-a877-4c08-83c5-273f84d6eef8", "transactionDateTime": "2025-07-15T13:18:00.042+03:00", "paymentType": "Транзитный", "documentCode": "01", "paymentNumber": "1017506305", "paymentDate": "2025-07-15", "amount": "40", "currency": "RUB", "operationType": "01", "paymentPurpose": "СИТИБАНК", "paymentPriority": "5", "accountDebet": "40819810345250000745", "accountCredit": "40819810145250000411" }, "payerInfo": { "clientId": "1000011961336", "mdmSystemCode": "1498", "clientType": "4", "payerName": "ПАО БАНК ВТБ", "payerInn": "7702070139", "payerAccountInfo": { "purpose": "счет требований 47423", "payerAccountNumber": "40819810345250000745" } }, "receiverInfo": { "clientId": "9991231449282", "mdmSystemCode": "1498", "clientType": "3", "receiverMessageInfo": "receiverMessageInfo", "receiverName": "ОБЩЕСТВО ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТЕХНО-ТЕМП", "receiverInn": "7702328490", "receiverAccountInfo": { "purpose": "счет требований 47423", "receiverAccountNumber": "40819810800819989550" }, "documents": [] }, "payerBankInfo": { "payerBankName": "T-BANK", "payerBankBic": "044525745", "payerBankAccountNumber": "40703810345250000745" }, "receiverBankInfo": { "receiverBankInfo": "receiverBankInfo", "receiverBankName": "ФИЛИАЛ ЮЖНЫЙ ПАО БАНК УРАЛСИБ", "receiverBankBic": "044525411", "receiverBankAccountNumber": "40703810145250000411" }, "mediatorBankInfo": { "mediatorBankInfo": "mediatorBankInfo", "mediatorBankName": "FILIAL", "mediatorBankBic": "044555555", "mediatorBankAccountNumber": "40703810145250000411" } }
2025-10-30 06:32:23|{ "headerInfo": { "corrId": "a6879bf9-eb45-4a10-8f9e-16ec454029d2", "source": "1388_ALPP", "version": "1.0", "msgDateTime": "2025-07-17T18:18:00.147+03:00" }, "paymentInfo": { "operationKind": "1388.0006.0001", "channel": "TP", "paymentId": "2f8eee47-a877-4c08-83c5-273f84d6eef8", "transactionDateTime": "2025-07-15T13:18:00.042+03:00", "paymentType": "Межфилиальный", "documentCode": "01", "paymentNumber": "1017506305", "paymentDate": "2025-07-15", "amount": "40", "currency": "RUB", "operationType": "01", "paymentPurpose": "море", "paymentPriority": "5", "accountDebet": "40818810345250000745", "accountCredit": "40818810145250000411" }, "payerInfo": { "clientId": "1000011961336", "mdmSystemCode": "1498", "clientType": "4", "payerName": "ПАО БАНК ВТБ", "payerInn": "7702070139", "payerAccountInfo": { "purpose": "счет требований 47423", "payerAccountNumber": "40818810345250000745" } }, "receiverInfo": { "clientId": "9991231449282", "mdmSystemCode": "1498", "clientType": "3", "receiverMessageInfo": "receiverMessageInfo", "receiverName": "ОБЩЕСТВО ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТЕХНО-ТЕМП", "receiverInn": "7702328490", "receiverAccountInfo": { "purpose": "счет требований 47423", "receiverAccountNumber": "40818810800819989550" }, "documents": [] }, "payerBankInfo": { "payerBankName": "T-BANK", "payerBankBic": "044525745", "payerBankAccountNumber": "30101810345250000745" }, "receiverBankInfo": { "receiverBankInfo": "receiverBankInfo", "receiverBankName": "ФИЛИАЛ ЮЖНЫЙ ПАО БАНК УРАЛСИБ", "receiverBankBic": "044525411", "receiverBankAccountNumber": "30101810145250000411" }, "mediatorBankInfo": { "mediatorBankInfo": "mediatorBankInfo", "mediatorBankName": "FILIAL", "mediatorBankBic": "044555555", "mediatorBankAccountNumber": "30101810145250000411" } }
